                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0934,                 4.2508,                 4.1155,                0.00285,                0.67074,                0.01061,                0.00391,                 2.8919,                 3.8512,                 4.2146,             0.00032932,             0.00032932,             0.00032932
                      2,                 2.7805,                 3.8386,                 3.5047,                0.04502,                0.10666,                0.02198,                0.00659,                 2.5147,                  4.522,                 3.4637,             0.00064953,             0.00064953,             0.00064953
                      3,                 2.2283,                 3.4592,                 2.9463,                0.10126,                0.49196,                0.13886,                0.05423,                 2.0947,                 6.1661,                 3.0295,             0.00095654,             0.00095654,             0.00095654
                      4,                 1.9318,                 3.0761,                 2.5649,                0.17939,                0.34102,                0.12445,                0.05432,                 1.8504,                 2.9643,                 2.5758,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.7049,                 2.7461,                 2.2985,                0.27257,                0.48424,                0.30854,                0.16192,                  1.559,                 2.6123,                  2.231,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.5831,                 2.4726,                  2.153,                0.39023,                0.44981,                0.38359,                0.24464,                 1.4675,                 2.1477,                 2.1597,               0.000901,               0.000901,               0.000901
                      7,                 1.4749,                 2.2599,                 2.0567,                  0.473,                0.48076,                0.47517,                0.30501,                 1.3426,                 1.8599,                 1.9813,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.3836,                  2.076,                 1.9686,                0.50382,                0.48099,                0.50075,                 0.3333,                  1.302,                 1.8543,                  1.968,              0.0008614,              0.0008614,              0.0008614
                      9,                  1.329,                 1.9379,                 1.8932,                0.53471,                0.54664,                0.55098,                0.37823,                 1.1609,                 1.7771,                 1.8198,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.2818,                 1.8693,                 1.8424,                0.57396,                0.57507,                0.61673,                0.42705,                 1.1681,                 1.5506,                 1.7991,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.2372,                 1.7535,                 1.7962,                0.53796,                0.55793,                0.57826,                0.41404,                 1.1273,                 1.8479,                 1.7729,               0.000802,               0.000802,               0.000802
                     12,                 1.1853,                 1.6637,                 1.7378,                 0.7446,                0.62533,                0.71351,                0.51539,                 1.0453,                   1.35,                 1.6723,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.1412,                 1.5843,                 1.7038,                0.71604,                0.61218,                0.70116,                0.51752,                0.98304,                 1.3482,                 1.6004,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.1004,                 1.5128,                  1.658,                0.72346,                0.66734,                 0.7462,                0.56647,                0.95923,                 1.2204,                 1.5759,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.1036,                 1.5155,                 1.6543,                0.72197,                0.71791,                0.75116,                0.57868,                0.95065,                 1.2107,                 1.5426,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.0525,                 1.4403,                 1.6064,                0.79095,                0.70867,                0.80704,                0.62189,                0.91454,                 1.0609,                 1.5026,               0.000703,               0.000703,               0.000703
                     17,                 1.0438,                 1.3844,                 1.5863,                0.78832,                0.68175,                0.79422,                0.61124,                0.89039,                 1.0749,                 1.4838,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.0109,                  1.345,                 1.5678,                 0.7972,                0.73756,                0.81643,                0.63249,                0.89488,                 1.0455,                 1.4791,              0.0006634,              0.0006634,              0.0006634
                     19,                0.98112,                 1.2837,                 1.5275,                0.79491,                0.73153,                 0.8235,                0.65511,                0.83994,                 1.0074,                 1.4201,              0.0006436,              0.0006436,              0.0006436
                     20,                0.97272,                 1.2734,                 1.5162,                0.76849,                0.72887,                0.80881,                0.63907,                0.84297,                 1.0437,                 1.4254,              0.0006238,              0.0006238,              0.0006238
                     21,                0.94809,                 1.2448,                 1.5014,                 0.8346,                0.73708,                0.83456,                0.65269,                0.85039,                0.95861,                 1.4274,               0.000604,               0.000604,               0.000604
                     22,                0.93801,                 1.2029,                 1.4919,                0.81352,                0.74327,                0.83784,                0.66267,                0.84197,                0.93881,                 1.4041,              0.0005842,              0.0005842,              0.0005842
                     23,                0.93395,                 1.1798,                 1.4761,                0.83426,                 0.7292,                0.85024,                0.67062,                 0.8357,                0.93247,                 1.3988,              0.0005644,              0.0005644,              0.0005644
                     24,                0.92404,                 1.1615,                 1.4618,                0.83868,                0.74499,                0.84955,                0.67595,                 0.8099,                0.93638,                 1.3754,              0.0005446,              0.0005446,              0.0005446
                     25,                 0.8988,                 1.1352,                 1.4517,                0.84137,                0.79019,                0.87365,                0.70595,                0.77346,                 0.8431,                 1.3431,              0.0005248,              0.0005248,              0.0005248
                     26,                0.88276,                 1.0927,                 1.4409,                  0.818,                0.76701,                0.84091,                0.66359,                0.82577,                0.94912,                 1.3998,               0.000505,               0.000505,               0.000505
                     27,                0.87734,                 1.0731,                 1.4312,                0.87309,                0.77692,                0.88376,                0.72011,                0.73279,                0.78636,                  1.303,              0.0004852,              0.0004852,              0.0004852
                     28,                0.82868,                 1.0349,                  1.394,                0.84265,                0.80896,                0.89335,                0.73649,                0.71996,                 0.7768,                 1.2865,              0.0004654,              0.0004654,              0.0004654
                     29,                0.84967,                 1.0378,                  1.406,                0.85092,                0.79493,                0.88688,                0.71707,                0.74752,                0.78639,                 1.3189,              0.0004456,              0.0004456,              0.0004456
                     30,                0.83155,                0.99824,                 1.3827,                0.83932,                0.81938,                0.89929,                0.73105,                0.72288,                0.76258,                 1.2938,              0.0004258,              0.0004258,              0.0004258
                     31,                0.81607,                0.98983,                 1.3787,                0.88491,                0.81909,                0.90452,                0.75332,                0.68122,                0.73379,                 1.2603,               0.000406,               0.000406,               0.000406
                     32,                0.81163,                0.97304,                 1.3782,                0.84052,                0.78689,                0.87664,                0.72347,                0.72261,                 0.8477,                 1.2748,              0.0003862,              0.0003862,              0.0003862
                     33,                0.81323,                0.96477,                 1.3642,                0.85085,                0.79289,                0.88187,                0.71556,                0.74367,                0.79959,                  1.325,              0.0003664,              0.0003664,              0.0003664
                     34,                0.78739,                0.93396,                 1.3546,                0.91521,                 0.8291,                0.91786,                0.76642,                 0.6889,                0.66368,                  1.256,              0.0003466,              0.0003466,              0.0003466
                     35,                0.77892,                0.92153,                 1.3545,                 0.8922,                0.82912,                0.91802,                 0.7721,                0.67208,                0.68509,                 1.2379,              0.0003268,              0.0003268,              0.0003268
                     36,                0.77424,                0.90257,                 1.3501,                0.91106,                0.81355,                0.91447,                0.75984,                0.69254,                0.68462,                 1.2535,               0.000307,               0.000307,               0.000307
                     37,                0.76457,                0.88463,                 1.3364,                0.93466,                0.81567,                0.92138,                0.77321,                0.66562,                0.65384,                 1.2303,              0.0002872,              0.0002872,              0.0002872
                     38,                0.77296,                0.90482,                 1.3414,                 0.9261,                0.83799,                0.92403,                0.77474,                0.66301,                 0.6387,                 1.2346,              0.0002674,              0.0002674,              0.0002674
                     39,                0.74449,                0.86826,                 1.3173,                0.92127,                0.83215,                0.92445,                0.78115,                0.65182,                 0.6289,                 1.2175,              0.0002476,              0.0002476,              0.0002476
                     40,                0.72543,                0.84462,                 1.2998,                0.91955,                0.84981,                0.92811,                0.78779,                0.64028,                 0.6148,                 1.2086,              0.0002278,              0.0002278,              0.0002278
                     41,                0.60769,                0.66737,                 1.1938,                0.89714,                0.85548,                0.92737,                0.77966,                 0.6429,                0.61943,                  1.203,               0.000208,               0.000208,               0.000208
                     42,                0.58499,                0.61375,                 1.1724,                0.92142,                0.83179,                0.91793,                0.78622,                 0.6277,                0.61908,                 1.1884,              0.0001882,              0.0001882,              0.0001882
                     43,                0.56587,                0.59653,                 1.1609,                0.88727,                0.85971,                0.92864,                0.79213,                0.62438,                0.60969,                 1.1851,              0.0001684,              0.0001684,              0.0001684
                     44,                0.55845,                0.58378,                  1.147,                0.92167,                 0.8444,                0.93276,                0.79297,                0.62637,                0.59704,                  1.182,              0.0001486,              0.0001486,              0.0001486
                     45,                 0.5505,                0.55422,                 1.1342,                0.93263,                0.86717,                0.94135,                0.79955,                0.60982,                0.56924,                 1.1635,              0.0001288,              0.0001288,              0.0001288
                     46,                0.53556,                0.53851,                 1.1247,                0.93839,                0.85069,                0.93788,                0.80412,                0.61476,                0.56743,                 1.1652,               0.000109,               0.000109,               0.000109
                     47,                0.53386,                0.53867,                 1.1246,                0.95405,                 0.8493,                0.94248,                0.80923,                0.59643,                0.53932,                 1.1563,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.52215,                0.51883,                  1.111,                0.94358,                0.85858,                0.94355,                0.81353,                0.59745,                 0.5371,                  1.152,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.51281,                0.50048,                 1.1058,                0.95377,                 0.8614,                0.94549,                0.81513,                0.59469,                 0.5279,                 1.1526,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.50717,                0.49698,                 1.1079,                 0.9428,                0.86627,                  0.945,                0.81354,                0.59327,                0.53606,                 1.1535,               2.98e-05,               2.98e-05,               2.98e-05
